name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,age,brand,km_per_year
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,18,Maruti,3888.8888888888887
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,18,Maruti,2777.777777777778
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,13,Hyundai,7692.307692307692
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,8,Datsun,5750.0
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,11,Honda,12818.181818181818
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,18,Maruti,6944.444444444444
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,9,Hyundai,2777.777777777778
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,11,Tata,5454.545454545455
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,10,Hyundai,2500.0
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,8,Maruti,9750.0
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,10,Chevrolet,3500.0
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,11,Tata,9090.90909090909
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,7,Toyota,3571.4285714285716
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,10,Maruti,2400.0
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,6,Hyundai,833.3333333333334
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,12,Chevrolet,2750.0
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,11,Jaguar,2545.4545454545455
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,12,Mercedes-Benz,4916.666666666667
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,7,Maruti,642.8571428571429
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,14,Audi,12564.285714285714
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,7,Honda,2071.4285714285716
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,7,Tata,2142.8571428571427
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,12,Audi,4166.666666666667
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,13,Mercedes-Benz,2600.0
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,14,Skoda,9314.285714285714
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,9,Toyota,5555.555555555556
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,10,Toyota,8000.0
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,6,Jeep,1666.6666666666667
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,15,Mercedes-Benz,7933.333333333333
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,11,Hyundai,5454.545454545455
