name,year,km_driven,fuel,seller_type,transmission,owner,age,brand,km_per_year
Toyota Innova 2.5 V Diesel 7-seater,2014,135000,Diesel,Dealer,Manual,First Owner,11,Toyota,12272.727272727272
Datsun GO Plus T Option BSIV,2017,20000,Petrol,Individual,Manual,Second Owner,8,Datsun,2500.0
Hyundai Getz GLE,2007,60000,Petrol,Individual,Manual,Fourth & Above Owner,18,Hyundai,3333.3333333333335
Maruti Alto K10 VXI Optional,2014,64000,Petrol,Dealer,Manual,Second Owner,11,Maruti,5818.181818181818
Land Rover Discovery S 2.0 SD4,2018,68000,Petrol,Individual,Automatic,First Owner,7,Land,9714.285714285714
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,120000,Diesel,Individual,Manual,First Owner,10,Chevrolet,12000.0
Tata Nano Cx BSIV,2011,9528,Petrol,Dealer,Manual,First Owner,14,Tata,680.5714285714286
Tata Tiago XZA AMT,2018,10980,Petrol,Dealer,Automatic,First Owner,7,Tata,1568.571428571429
Tata Bolt Revotron XE,2016,90000,Petrol,Individual,Manual,Second Owner,9,Tata,10000.0
Maruti Wagon R LXI CNG,2016,30000,CNG,Individual,Manual,Second Owner,9,Maruti,3333.3333333333335
Hyundai Verna 1.6 SX CRDi (O),2014,50000,Diesel,Individual,Manual,First Owner,11,Hyundai,4545.454545454545
Maruti Swift Vdi BSIII,2010,110000,Diesel,Individual,Manual,Second Owner,15,Maruti,7333.333333333333
Maruti Alto 800 LXI,2015,35000,Petrol,Dealer,Manual,First Owner,10,Maruti,3500.0
Maruti Baleno Delta 1.2,2018,8000,Petrol,Individual,Manual,First Owner,7,Maruti,1142.857142857143
Maruti Wagon R ZXI 1.2,2019,30000,Petrol,Dealer,Manual,First Owner,6,Maruti,5000.0
Hyundai EON 1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,7,Hyundai,3043.1428571428573
Ford Fiesta Classic 1.4 SXI Duratorq,2006,101100,Diesel,Individual,Manual,Third Owner,19,Ford,5321.0526315789475
Maruti Alto LXi BSIII,2009,80000,Petrol,Individual,Manual,Second Owner,16,Maruti,5000.0
Toyota Etios 1.4 VXD,2017,70000,Diesel,Individual,Manual,First Owner,8,Toyota,8750.0
Mahindra Scorpio LX,2013,120000,Diesel,Individual,Manual,First Owner,12,Mahindra,10000.0
Renault Scala RxL,2013,55000,Petrol,Dealer,Manual,First Owner,12,Renault,4583.333333333333
Maruti Baleno Alpha 1.3,2016,64672,Diesel,Trustmark Dealer,Manual,First Owner,9,Maruti,7185.777777777777
Mahindra Xylo D4,2010,90000,Diesel,Individual,Manual,Third Owner,15,Mahindra,6000.0
Mahindra KUV 100 mFALCON G80 K8 5str,2017,53000,Petrol,Individual,Manual,First Owner,8,Mahindra,6625.0
Chevrolet Cruze LTZ AT,2012,42000,Diesel,Dealer,Automatic,First Owner,13,Chevrolet,3230.769230769231
Tata Indica Vista TDI LX,2015,50000,Diesel,Individual,Manual,Second Owner,10,Tata,5000.0
Skoda Rapid 1.6 MPI AT Ambition BSIV,2017,15000,Petrol,Individual,Automatic,First Owner,8,Skoda,1875.0
Tata Zest Quadrajet 1.3 75PS XE,2015,140000,Diesel,Dealer,Manual,First Owner,10,Tata,14000.0
Hyundai i20 Sportz 1.2,2013,50000,Petrol,Individual,Manual,Second Owner,12,Hyundai,4166.666666666667
Mahindra Scorpio VLX 2WD BSIV,2014,58000,Diesel,Dealer,Manual,Second Owner,11,Mahindra,5272.727272727273
Volkswagen Polo 1.5 TDI Highline,2014,80000,Diesel,Individual,Manual,Second Owner,11,Volkswagen,7272.727272727273
Mahindra Scorpio LX,2014,15000,Diesel,Individual,Manual,First Owner,11,Mahindra,1363.6363636363635
Hyundai Verna 1.6 SX VTVT (O),2013,66000,Petrol,Individual,Manual,First Owner,12,Hyundai,5500.0
Ford Ecosport 1.5 Petrol Ambiente,2017,6000,Petrol,Individual,Manual,First Owner,8,Ford,750.0
Maruti Alto LX,2012,19077,Petrol,Individual,Manual,Second Owner,13,Maruti,1467.4615384615386
Hyundai Grand i10 1.2 Kappa Asta,2017,42000,Petrol,Individual,Manual,First Owner,8,Hyundai,5250.0
Maruti Swift VDI,2012,80000,Diesel,Individual,Manual,Third Owner,13,Maruti,6153.846153846154
Ford Figo Petrol Titanium,2010,70000,Petrol,Individual,Manual,First Owner,15,Ford,4666.666666666667
Maruti 800 AC,2007,100000,Petrol,Individual,Manual,Second Owner,18,Maruti,5555.555555555556
Maruti SX4 Zxi with Leather BSIII,2008,60000,Petrol,Individual,Manual,Second Owner,17,Maruti,3529.4117647058824
Maruti Ciaz VDi Plus,2015,97000,Diesel,Individual,Manual,Second Owner,10,Maruti,9700.0
Hyundai EON Magna Plus,2018,20000,Petrol,Individual,Manual,First Owner,7,Hyundai,2857.1428571428573
Ford Freestyle Titanium Plus,2020,1010,Petrol,Dealer,Manual,Test Drive Car,5,Ford,202.0
Hyundai i20 1.2 Sportz,2011,97700,Petrol,Individual,Manual,Fourth & Above Owner,14,Hyundai,6978.571428571428
Maruti Swift VDI BSIV,2017,25000,Diesel,Individual,Manual,First Owner,8,Maruti,3125.0
Toyota Fortuner 4x2 AT,2017,47162,Diesel,Trustmark Dealer,Automatic,First Owner,8,Toyota,5895.25
Audi Q3 35 TDI Quattro Technology,2018,25000,Diesel,Individual,Automatic,First Owner,7,Audi,3571.4285714285716
Maruti Alto K10 VXI,2017,25000,Petrol,Dealer,Manual,First Owner,8,Maruti,3125.0
Maruti Ertiga VDI,2019,50000,Diesel,Individual,Manual,First Owner,6,Maruti,8333.333333333334
Tata Nano Lx BSIV,2012,29900,Petrol,Individual,Manual,First Owner,13,Tata,2300.0
Maruti Ritz LDi,2016,100000,Diesel,Individual,Manual,Second Owner,9,Maruti,11111.111111111111
Datsun GO Plus A Option Petrol,2018,10000,Petrol,Individual,Manual,Second Owner,7,Datsun,1428.571428571429
Maruti Swift 1.3 VXi,2005,67000,Petrol,Individual,Manual,First Owner,20,Maruti,3350.0
Tata Indica GLS BS IV,2010,300000,Petrol,Individual,Manual,Third Owner,15,Tata,20000.0
Tata Zest Revotron 1.2 XT,2014,35000,Petrol,Individual,Manual,First Owner,11,Tata,3181.818181818182
Ford Fiesta 1.4 ZXi Leather,2007,170000,Petrol,Individual,Manual,First Owner,18,Ford,9444.444444444443
Tata Bolt Revotron XM,2015,30000,Petrol,Individual,Manual,First Owner,10,Tata,3000.0
Tata Safari Storme VX Varicor 400,2016,80000,Diesel,Individual,Manual,First Owner,9,Tata,8888.888888888889
Maruti Celerio ZXI Optional AMT BSIV,2017,82000,Petrol,Individual,Automatic,First Owner,8,Maruti,10250.0
Hyundai i10 Sportz 1.1L,2017,10000,Petrol,Individual,Manual,First Owner,8,Hyundai,1250.0
Fiat Linea 1.3 Emotion,2010,65000,Diesel,Dealer,Manual,First Owner,15,Fiat,4333.333333333333
Hyundai EON D Lite,2016,30000,Petrol,Individual,Manual,First Owner,9,Hyundai,3333.3333333333335
